"Name","Spin","Remnant Mass","Nu0","Nu1","Nu2","Nu3","Nu4","Nu5","Nu6","Nu7"
431,0.713873681907,0.953159771809,-2.7333934326824845-0.4758659919709497*I,-2.5196116572749565-0.4970878245852428*I,-2.925288670774969-0.752040964679229*I,-3.281602017121143-0.8520582743831051*I,-3.6196666198452365-0.8915352558752982*I,-3.935295949538007-0.9276559352696074*I,-4.274584583792503-0.9863109874296477*I,-4.646997958899685-1.0364189598636446*I
440,0.699312666935,0.95166489327,-2.7257850218032003-0.4435776202408176*I,-2.5645284430506874-0.4807807809129913*I,-2.945352613194475-0.7371074174346673*I,-3.2988424491082484-0.8358150209836678*I,-3.6379634535675742-0.8754077093695051*I,-3.958799075121501-0.9110127660078305*I,-4.302579373668021-0.9667607972376804*I,-4.6784189534891345-1.0151296349351606*I
444,0.721219673002,0.951775565236,-2.7365227203872-0.4929673709762806*I,-2.49658859805816-0.5086317935585237*I,-2.9146943479630223-0.7600256204640585*I,-3.272519584563381-0.860561446193969*I,-3.6101196017159767-0.8998775407310496*I,-3.922962391265309-0.9361132615709283*I,-4.2598268350381305-0.9963041394347342*I,-4.63042543679756-1.047329644771686*I
447,0.654722609665,0.954024086784,-2.6927229742055534-0.3621644830159454*I,-2.6747827131002007-0.46839956246596615*I,-2.9998247191106175-0.6974714776172278*I,-3.34627129548217-0.7903291095589241*I,-3.689316654515529-0.8287878851781003*I,-4.0238948857990495-0.8612036266177077*I,-4.379371969851214-0.908880953528759*I,-4.764423673171567-0.9524143612598814*I
448,0.725891367814,0.955236582026,-2.738266627253439-0.5040954009475743*I,-2.482093005594254-0.5171131633008391*I,-2.907785362689565-0.765273398631145*I,-3.2665995686832616-0.866084893470584*I,-3.6039329928359995-0.9052617943811326*I,-3.914943954940708-0.9415106223338303*I,-4.250205391724709-1.0027058225829781*I,-4.619618561015675-1.0543306408630986*I
449,0.659099204018,0.95039462763,-2.6964061105384136-0.3687824532403983*I,-2.6661411926708505-0.46830692577371663*I,-2.9949027019349406-0.7010171024865238*I,-3.341931000980107-0.7945468569980342*I,-3.684562763320937-0.8332045497035587*I,-4.0179182695398294-0.8660104868866927*I,-4.372361905706242-0.9144374583361812*I,-4.756588047393581-0.9584203283943307*I
451,0.67300080021,0.955452529948,-2.7076710789150327-0.39190191370112637*I,-2.6356310920693833-0.4691443859087629*I,-2.978683023304933-0.7127378727108339*I,-3.327716654169234-0.8082771504609944*I,-3.669065868336676-0.8474483823679418*I,-3.9983686205344613-0.8813990638765823*I,-4.349377537385277-0.9322609160751858*I,-4.730872321879174-0.9777031068926496*I
452,0.692110976825,0.954851401773,-2.7213489224272-0.42850557704948317*I,-2.585605251554314-0.47568187081950336*I,-2.9548366157817716-0.7301241721539456*I,-3.307021758737411-0.8280588516504602*I,-3.6467186772695137-0.8676133985823667*I,-3.9699850745073717-0.9028460270392079*I,-4.315848941423756-0.9572146220355617*I,-4.693302708942149-1.0047575160825386*I
455,0.654505237876,0.955183858488,-2.6925390056386806-0.36184420595195993*I,-2.675200669417289-0.4684071064566786*I,-3.000066951272896-0.6972970830811518*I,-3.346485247361826-0.790120880490399*I,-3.6895512495180607-0.8285693336968163*I,-4.0241895785407555-0.8609653598945628*I,-4.379717424136244-0.9086056476966399*I,-4.7648097132405045-0.9521168452219765*I
456,0.668481279248,0.95339674265,-2.704101355689496-0.384042572327893*I,-2.646083073192488-0.46862958766755336*I,-2.98405621697533-0.7088476601590993*I,-3.3324114196650174-0.803755862791699*I,-3.6741716692218183-0.8427805852533308*I,-4.004821267863062-0.8763761334473211*I,-4.356973261864977-0.9264368258703939*I,-4.739374604692082-0.9713989252113963*I
457,0.667915409722,0.952990518386,-2.7036472856714844-0.3830814364790004*I,-2.647354758383221-0.4685841849881602*I,-2.9847220794955036-0.7083661340900811*I,-3.332994142103224-0.8031937546466287*I,-3.674806291968663-0.8421987146401984*I,-4.005622489475122-0.8757485848649547*I,-4.357915762893739-0.9257096433091109*I,-4.7404293351624585-0.9706120328850432*I
458,0.728193215902,0.955034858574,-2.739056414503234-0.5096464734944226*I,-2.4750303844381274-0.5216020340745381*I,-2.904331052052267-0.7679097415421623*I,-3.263639807737009-0.8688409084448907*I,-3.600851001965716-0.9079385758061022*I,-3.910941700982139-0.9441749824736848*I,-4.245394669907675-1.0058735357015087*I,-4.61421460062327-1.0577984768721906*I
459,0.655276336608,0.954118741553,-2.6931912279981143-0.36298395521101395*I,-2.6737132938782793-0.4683814915427736*I,-2.999206716725603-0.6979164465638624*I,-3.345725594436311-0.7908600777079972*I,-3.6887184092283083-0.8293449609312372*I,-4.023143282068027-0.8618107839670591*I,-4.3784908178808735-0.9095825445103087*I,-4.763438956654911-0.9531725773371648*I
465,0.705029766293,0.951254233178,-2.728993608444719-0.4559814695949696*I,-2.5471563975661713-0.4861682949324027*I,-2.9376195386517465-0.7428358506356907*I,-3.2921891452012577-0.8420999488456199*I,-3.6308763938058104-0.8816786708297888*I,-3.94971601390651-0.9175271689560983*I,-4.291779384224335-0.9743965542173727*I,-4.666300171688813-1.023436532407002*I
468,0.6718535314,0.954251858167,-2.7067749597178286-0.38987632017763507*I,-2.6383343477591805-0.4689863811766524*I,-2.980056322156071-0.7117428020430205*I,-3.3289153094679884-0.8071240271808243*I,-3.670368255607093-0.8462599941710569*I,-4.000015665454537-0.8801221938805623*I,-4.351317253281866-0.930779748284331*I,-4.7330438918569016-0.9760995204704177*I
470,0.69849178638,0.955441170503,-2.725301266823798-0.4418276609986731*I,-2.5669810055835938-0.48010846187689515*I,-2.9464479689990757-0.7362985891227231*I,-3.2997859339620517-0.8349220430849225*I,-3.6389710064657566-0.8745134830449848*I,-3.9600883180935202-0.9100796416919059*I,-4.304110465814295-0.965668634205146*I,-4.68013666106665-1.013942263571777*I
471,0.657996614576,0.954331144495,-2.695482449906612-0.36708484293370053*I,-2.6683594689789807-0.46831873684325276*I,-2.9961508057390196-0.7001176287602017*I,-3.34303033369068-0.7934797180782021*I,-3.6857659139989543-0.832088913469521*I,-4.019431763010349-0.864797784900215*I,-4.374137822748533-0.9130351887484974*I,-4.758573463134493-0.9569044097968805*I
475,0.69042350625,0.950313204188,-2.720248203659747-0.4250686199614055*I,-2.590386444899191-0.47473237895042114*I,-2.957018366801134-0.7285238048205264*I,-3.308906933786772-0.8262663971821226*I,-3.648743035103679-0.8658032736357171*I,-3.9725660610200277-0.900938950097928*I,-4.318906015951656-0.9549892914014644*I,-4.696730592697586-1.0023415890562148*I
481,0.678469025919,0.951702625559,-2.711837762200932-0.40183495408932435*I,-2.6222734608639837-0.47019632688562524*I,-2.9720487755199083-0.7175534078964879*I,-3.3219375237446873-0.8138250865298863*I,-3.6627985495782425-0.8531459434394091*I,-3.990431995613122-0.8875018423405223*I,-4.340021814947347-0.9393465089135472*I,-4.720395128396212-0.9853775663793112*I
487,0.712391087078,0.94858681205,-2.732704050374156-0.47247681761075894*I,-2.5242605043215973-0.4950307363472864*I,-2.927387680798825-0.7504675488691633*I,-3.2834026991097223-0.8503681327724011*I,-3.621567167171654-0.8898690998929044*I,-3.937745429070882-0.9259537597327057*I,-4.277509797249343-0.9843048501291819*I,-4.650282280880919-1.0342311043903365*I
490,0.739297847012,0.946936982842,-2.7422380639325863-0.53701629621958*I,-2.4420466198676793-0.5458463933122688*I,-2.8871894158794325-0.7811230363861693*I,-3.2489428602956383-0.8824735968142702*I,-3.5856604350363637-0.9210899844653482*I,-3.8911406934700548-0.9570681254294662*I,-4.221505998602862-1.0212818290641474*I,-4.587376873393023-1.0747034051446764*I
495,0.714781701991,0.949477398486,-2.733806041721096-0.47795232091410567*I,-2.5167622185455745-0.49839315874640394*I,-2.9239966921135867-0.753010803841788*I,-3.2804939080183853-0.853097641695161*I,-3.618498312443416-0.8925585363259607*I,-3.933789251775835-0.9286992419304299*I,-4.2727843362141735-0.9875414197022395*I,-4.644976598976778-1.03776124315667*I
499,0.727058980874,0.948364035685,-2.7386729396218836-0.5069056977778262*I,-2.4785027642426307-0.5193652852480987*I,-2.9060373320999253-0.7666064347720611*I,-3.2651018215614447-0.8674799895756673*I,-3.6023724604790686-0.9066175801633224*I,-3.912918097838181-0.9428617270502613*I,-4.247771015502486-1.004311530180153*I,-4.616884025785804-1.0560881766167045*I
503,0.65065672028,0.95351593798,-2.689270608895449-0.35630618565490463*I,-2.6824307101667264-0.4685781340726662*I,-3.0043211944391657-0.6942355383073964*I,-3.3502483192514854-0.7864534907981253*I,-3.6936812501774794-0.8247124031540516*I,-4.029373927715288-0.8567543532310351*I,-4.3857918239423-0.9037417845314939*I,-4.771596215063019-0.9468614530149608*I
505,0.726820773898,0.950340265589,-2.738591000357792-0.506331441778384*I,-2.4792339676440363-0.5189016395498429*I,-2.9063946467475996-0.7663337719471318*I,-3.2654079780339003-0.8671948915914064*I,-3.602691296065655-0.9063406491506844*I,-3.91333211166346-0.9425860192678723*I,-4.248268634035485-1.003983760383413*I,-4.617443007358856-1.055729364083146*I
511,0.74671396782,0.941673338547,-2.7438038503792628-0.5558039476491097*I,-2.421273013296432-0.5640692817098708*I,-2.8752875869256056-0.7904321378415734*I,-3.238717184769494-0.8919086009178139*I,-3.5752071364455644-0.9301132890147668*I,-3.877443848589038-0.9657071624135395*I,-4.204888369409697-1.0316903945224525*I,-4.56870692884269-1.086161202591461*I
518,0.718900337433,0.948275515816,-2.735586087447838-0.48751403924547415*I,-2.5038415878618405-0.5047460126531679*I,-2.9180745129336687-0.7574700734311905*I,-3.275416501744968-0.8578531739471993*I,-3.613157506236741-0.8972276763642069*I,-3.9268922713476617-0.933438971993205*I,-4.264534468251727-0.9931394186502678*I,-4.635712481373343-1.0438720563663253*I
528,0.662122015046,0.953056302394,-2.698920371212649-0.373540707270854*I,-2.6599130319506017-0.468321363292186*I,-2.9914525910106327-0.7035050542399216*I,-3.3388964579350535-0.7974885332072642*I,-3.68124500940079-0.8362734935339974*I,-4.013741575615229-0.8693410975036372*I,-4.36745846514161-0.9182903208470261*I,-4.751104960696549-0.9625862603742995*I
529,0.686070803238,0.953754227202,-2.7173065345091096-0.4163779992744821*I,-2.602410831074242-0.4726650420631112*I,-2.962576549081317-0.7244562873197256*I,-3.313716353573944-0.8216851197898005*I,-3.653918134071883-0.8611615268260994*I,-3.9791550717419004-0.8960314623044812*I,-4.326702753177373-0.9492690635235712*I,-4.705471057277013-0.9961345710618825*I
530,0.663153304214,0.957275161003,-2.699771341820368-0.3751987921677334*I,-2.6577380817422327-0.4683437543275891*I,-2.990265926043531-0.7043613532377498*I,-3.3378541629676124-0.7984975903792905*I,-3.6801065902126027-0.8373240367935498*I,-4.012307352796376-0.8704793804382002*I,-4.365773815665652-0.9196076529065322*I,-4.749220765828221-0.9640109161873031*I
533,0.715487466453,0.951833414905,-2.734121706793564-0.4795794300547998*I,-2.514546966031273-0.4994315784875837*I,-2.922989101987118-0.7537678980107383*I,-3.2796298321980406-0.8539077376303801*I,-3.617587964811932-0.8933553929678094*I,-3.932614727097737-0.929510575108962*I,-4.271380487378082-0.9884987108252224*I,-4.643400269662712-1.0388057677316695*I
534,0.670437468458,0.957208932822,-2.7056592457713715-0.38740465681118164*I,-2.641623844262002-0.4688178037974755*I,-2.9817425917786236-0.7105217206815325*I,-3.3303882955671105-0.8057058343203553*I,-3.6719698580282096-0.8447964582563494*I,-4.002040068282773-0.8785478635738846*I,-4.353700534111253-0.9289541313756886*I,-4.735711723381891-0.9741233230083651*I
536,0.650168242749,0.95352524932,-2.688854605857664-0.3556212100003053*I,-2.6833258783957943-0.4686043379663074*I,-3.004856545541632-0.6938504310307235*I,-3.3507226121980076-0.7859905833290977*I,-3.694202302366284-0.8242245305063182*I,-4.030027511224298-0.856220875463171*I,-4.386557218932939-0.9031258281316734*I,-4.772451125513763-0.9461960257240591*I
542,0.659398172855,0.958797578339,-2.696655999175668-0.36924627273509686*I,-2.665534827277342-0.4683052059182115*I,-2.994563328040543-0.7012617292717034*I,-3.3416322249845916-0.7948367493797825*I,-3.6842358830598085-0.8335074023581293*I,-4.017506968592797-0.866339511979416*I,-4.371879204897975-0.914817969260984*I,-4.756048363519218-0.9588317049472936*I
547,0.681144745916,0.956142795823,-2.71380822087724-0.40685889996262364*I,-2.6154519780445717-0.47091712236539907*I,-2.968748229318139-0.7199547962193982*I,-3.3190690828100076-0.8165717467958361*I,-3.659695303133005-0.8559544476213726*I,-3.986495505292598-0.890498131896063*I,-4.335375959984731-0.9428294191616546*I,-4.715190505720411-0.9891520110719424*I
551,0.710054953681,0.949314713753,-2.731578317632511-0.46718102446738147*I,-2.5315685530867804-0.4919758699869481*I,-2.930668856510017-0.7480134179658336*I,-3.286218632741085-0.8477221431867399*I,-3.6245442877245213-0.8872551995165324*I,-3.9415785947117956-0.9232749953334116*I,-4.282083765683754-0.9811509965524696*I,-4.655417303647466-1.030793157112218*I
554,0.663346441379,0.959632050721,-2.6999302880300755-0.37551126686271835*I,-2.6573278874633512-0.4683490219755907*I,-2.9900431438628505-0.7045221475302642*I,-3.337658564948192-0.7986868752969125*I,-3.6798930196995525-0.8375209805377724*I,-4.0120382270215424-0.8706926670876766*I,-4.365457648440881-0.9198545217848101*I,-4.7488671264938285-0.9642779140845351*I
555,0.665944131911,0.956655399275,-2.702054227956205-0.379773573045631*I,-2.651721561291697-0.4684553366851717*I,-2.987029860497505-0.7066981235501198*I,-3.3350154209294427-0.8012423841473809*I,-3.677009081782982-0.8401760768736922*I,-4.008402180162255-0.8735647959902306*I,-4.361184486934554-0.9231799030186197*I,-4.744086828606869-0.9678749583587575*I
556,0.695353439306,0.953175542758,-2.723399434301544-0.4352121534244976*I,-2.5762435369998893-0.4777592986751713*I,-2.950601511695514-0.7332370894262659*I,-3.3033663047978985-0.8315293394990023*I,-3.642800155654813-0.8711086080385229*I,-3.9649833545003985-0.9065174582703779*I,-4.309919678979461-0.9615027700252814*I,-4.686653079063849-1.009414964484375*I
558,0.688618765809,0.957665697311,-2.719046169718295-0.4214343001680165*I,-2.595427184941097-0.4738107262776159*I,-2.9593350125468256-0.7268268363338893*I,-3.3109102762160765-0.8243595656232642*I,-3.650896864344048-0.8638739546544091*I,-3.9753099221763053-0.8989021300024462*I,-4.3221541409586886-0.9526140834274449*I,-4.700372228603162-0.9997637129197302*I
559,0.729380527175,0.946598248021,-2.7394460405759435-0.5125267713792949*I,-2.4714129086015038-0.5239941999614297*I,-2.902536204178826-0.7692829705063325*I,-3.262101828028725-0.8702715936200051*I,-3.599252467821043-0.90932563439337*I,-3.9088638366676074-0.9455504867715617*I,-4.24289480923271-1.0075109632389316*I,-4.61140635289724-1.0595920044107725*I
560,0.699404755861,0.947818306252,-2.7258389334007735-0.44377443392175475*I,-2.5642525817762896-0.48085774049949387*I,-2.9452295001244484-0.7371983650238051*I,-3.29873642350087-0.8359153435719359*I,-3.637850267403653-0.8755081215614617*I,-3.958654212459165-0.9111174822667346*I,-4.30240730789562-0.9668833849538246*I,-4.678225910042042-1.0152629210657866*I
562,0.730937647495,0.947451491775,-2.739938838321556-0.5163214087118307*I,-2.4666978052189608-0.5272083224764037*I,-2.9001687179159634-0.7710979231347324*I,-3.260072979875762-0.8721574269775431*I,-3.5971468670765097-0.911151406134414*I,-3.9061247563680386-0.9473556101907419*I,-4.23959703801347-1.009662016705909*I,-4.607701658328579-1.0619491449905802*I
565,0.701717398253,0.949084037393,-2.727169024836429-0.4487495250696014*I,-2.5572794680622684-0.48289404510701983*I,-2.9421222750300657-0.7394964181126166*I,-3.2960616143613635-0.8384444708038317*I,-3.6349974519007806-0.8780361419353894*I,-3.955000853539126-0.913749566799259*I,-4.298065993610782-0.9699662941009837*I,-4.673354950348305-1.0186156859131474*I
573,0.670776678652,0.956899361211,-2.705927454788097-0.38799384676899334*I,-2.640840587793662-0.4688556183406217*I,-2.9813395352810073-0.710813511839903*I,-3.330036100901818-0.8060450446693987*I,-3.671586796741867-0.8451467120209496*I,-4.001555988224274-0.8789248147496546*I,-4.353130722968091-0.9293911896351351*I,-4.73507391260869-0.9745964002907211*I
577,0.666510239566,0.953503536829,-2.7025134563857844-0.3807170733950492*I,-2.6504775254098916-0.46848783681903977*I,-2.9863689925772974-0.7071756458649777*I,-3.33443633318918-0.8018016978116814*I,-3.676377757287663-0.8407562402641658*I,-4.0076057309109965-0.8741915571504355*I,-4.360248093189857-0.9239058347858885*I,-4.7430391371019045-0.9686603260660341*I
579,0.68786577863,0.954714554514,-2.7185371938447056-0.4199308464421776*I,-2.5975074638999844-0.47345369221294403*I,-2.960296505054673-0.7261232244914999*I,-3.3117422409716584-0.8235670625639746*I,-3.6517920978539995-0.8630709824466141*I,-3.976449738643035-0.8980531700986988*I,-4.323502871233432-0.951624532475046*I,-4.701884211029246-0.9986899549199334*I
589,0.722230217615,0.952846600924,-2.7369160652750195-0.4953584408437789*I,-2.4934380903812468-0.5103931249196405*I,-2.9132112948803432-0.7611493068276066*I,-3.271248722809173-0.8617484203331495*I,-3.608789056115699-0.9010368522552139*I,-3.9212396163058894-0.9372795877504061*I,-4.257761494776354-0.9976858139459552*I,-4.628105763221933-1.0488398757924806*I
591,0.724660551486,0.948079255887,-2.7378255762977144-0.5011453791675959*I,-2.4858933057516315-0.5147955549380494*I,-2.909618769601648-0.7638775807257164*I,-3.2681704610563487-0.8646206645271053*I,-3.6055717741927333-0.9038370426112675*I,-3.917069979751476-0.9400872800897423*I,-4.252758589016207-1.001015677706006*I,-4.622486476616039-1.0524813466553484*I
593,0.664094299647,0.955234916738,-2.700544450823262-0.37672701422639887*I,-2.6557309377138822-0.46837274088489694*I,-2.989178863104202-0.7051460525873237*I,-3.336899983322556-0.7994207477893055*I,-3.679064934878853-0.8382841784958551*I,-4.010994550789957-0.8715188804090818*I,-4.364231394538901-0.9208109221989799*I,-4.747495470823473-0.9653123465888545*I
594,0.692673901188,0.956001103275,-2.721711045789647-0.4296603221831468*I,-2.5839961150204056-0.47601819471430523*I,-2.954105420215483-0.7306610131479229*I,-3.306390275583726-0.8286588672570179*I,-3.6460411029580215-0.8682185813187829*I,-3.969120741046917-0.9034827669529258*I,-4.3148247889326194-0.9579579347398335*I,-4.692154237590567-1.0055646503157238*I
595,0.704822748601,0.949064382122,-2.728882373481828-0.45552590624325623*I,-2.547793187979922-0.4859510049413793*I,-2.9379027723552875-0.7426254598662674*I,-3.2924326155071855-0.8418703305618913*I,-3.6311351715249334-0.8814502576617111*I,-3.9500481273577774-0.9172908127765228*I,-4.292174684589292-0.9741191617737764*I,-4.6667438141685285-1.0231345848114988*I
598,0.658334154127,0.955778419857,-2.6957655504268865-0.36760237312532823*I,-2.667683373015349-0.46831422830929825*I,-2.9957693029075356-0.7003925374182336*I,-3.3426942155522608-0.7938060755304933*I,-3.685397985578968-0.8324302342475416*I,-4.018968994651705-0.865168910896203*I,-4.373594867233433-0.9134642960272572*I,-4.757966482075218-0.9573682784956026*I
599,0.686624265098,0.957256181834,-2.7176885789059195-0.41746877662011433*I,-2.6009073680749886-0.47289902945268*I,-2.9618753135487297-0.7249687261326393*I,-3.3131090218748533-0.8222643163353371*I,-3.653263795300172-0.8617495890660952*I,-3.978322671870694-0.8966545262616252*I,-4.32571838092317-0.9499948337577715*I,-4.704367697743242-0.9969218611415211*I
607,0.734068899207,0.948538193744,-2.7408679052491505-0.5240100588296427*I,-2.457326156921022-0.5339257792316918*I,-2.895360750285967-0.7747965968304923*I,-3.2559517594884144-0.8759830176462734*I,-3.5928808272177974-0.9148464398936138*I,-3.9005679445565633-0.9509894647817585*I,-4.232898194608485-1.0140001119336315*I,-4.6001759173436065-1.0667064941679258*I
608,0.658111593792,0.956743422162,-2.6955789175205553-0.36726091927744203*I,-2.6681294595703005-0.4683171144992323*I,-2.996020908632059-0.7002112289367969*I,-3.342915880633919-0.7935908556556162*I,-3.685640622353168-0.8322051596746894*I,-4.0192741816036754-0.864924192816656*I,-4.373952941221672-0.9131813422652483*I,-4.7583667827828-0.9570624014246333*I
609,0.664687430096,0.958115158349,-2.701030032027248-0.37769776456338783*I,-2.6544546082844565-0.4683954189097168*I,-2.98849154772139-0.7056423324645151*I,-3.336296993556539-0.8000038418676709*I,-3.6784069240891104-0.8388901554600459*I,-4.010165017067068-0.8721745308546794*I,-4.36325657429294-0.9215699969426085*I,-4.746404987580802-0.9661334106663776*I
623,0.739541265484,0.944936254398,-2.742296408716701-0.537626708398603*I,-2.4413475407398706-0.546421269418874*I,-2.8868046292422034-0.7814222274871395*I,-3.2486126190571065-0.8827789384254208*I,-3.585321327558257-0.921382947037262*I,-3.8906972594794573-0.9573513835600204*I,-4.220969256626524-1.0216219549921746*I,-4.58677383792798-1.075077303279426*I
632,0.658332049514,0.953995670402,-2.69576378615141-0.3675991403187243*I,-2.6676875967383302-0.4683142540210665*I,-2.9957716832317804-0.7003908220904056*I,-3.342696312460921-0.7938040397404839*I,-3.6854002807535258-0.8324281054771255*I,-4.018971881622343-0.865166596530881*I,-4.373598254591571-0.9134616199985458*I,-4.757970268940552-0.9573653856412377*I
634,0.696822955791,0.949231431073,-2.7243002334544917-0.4382949080626142*I,-2.571929693638674-0.47881635889211654*I,-2.9486633505377204-0.7346645944817145*I,-3.3016950521494435-0.8331137845283361*I,-3.641011671209568-0.8727002054995028*I,-3.962697940461274-0.9081843852071512*I,-4.307208249858361-0.9634515199570515*I,-4.683611734104883-1.011532455022821*I
636,0.727124957432,0.945352459205,-2.738695548186048-0.5070648335371651*I,-2.4783003584050665-0.519494078942734*I,-2.905938302934627-0.7666820189904706*I,-3.2650169705084395-0.8675589974351177*I,-3.6022841095418436-0.906694312654803*I,-3.9128033628309207-0.9429380962224142*I,-4.247633100495238-1.0044023299983664*I,-4.616729103425622-1.0561875805878471*I
637,0.697175778555,0.949478484076,-2.7245138251922723-0.4390389951396079*I,-2.57088774875096-0.47908130316789266*I,-2.948196251702311-0.7350089047504909*I,-3.301292424438767-0.8334952911832102*I,-3.640581089432067-0.8730830493844913*I,-3.962147482525014-0.9085848808544916*I,-4.306554974655224-0.9639199005810613*I,-4.682878926212275-1.0120414795342956*I
638,0.696349956681,0.949211215402,-2.7240122539472327-0.4372997551426795*I,-2.573322811911971-0.4784679934785227*I,-2.949288480571913-0.7342039665505501*I,-3.3022339866028454-0.8326029954497431*I,-3.6415881992284618-0.8721873923848732*I,-3.9634348312912904-0.9076476423515056*I,-4.308082653723853-0.9628239043686376*I,-4.684592564846223-1.0108504311464186*I
640,0.69944239591,0.950414632647,-2.725860948199701-0.4438549075335822*I,-2.5641397859104638-0.4808892864192165*I,-2.9451791658611532-0.7372355508407256*I,-3.298693076402447-0.8359563574896336*I,-3.6378039950966397-0.8755491691681406*I,-3.9585949884263476-0.9111602856162616*I,-4.30233696079563-0.9669334947598817*I,-4.678146986137235-1.0153174047273559*I
641,0.718905671972,0.944137242761,-2.7355882959738453-0.48752652616350334*I,-2.503824877534483-0.5047546972892176*I,-2.918066776053518-0.7574759141228263*I,-3.2754098702400523-0.8578593777290532*I,-3.6131505442064853-0.8972337539053108*I,-3.926883270815168-0.9334451187291598*I,-4.264523692231742-0.9931466873874168*I,-4.63570037955711-1.0438799952655178*I
642,0.697977424947,0.949375699064,-2.7249952354030635-0.44073523285336264*I,-2.568511713700003-0.4796996304043909*I,-2.9471324195868793-0.7357934936553502*I,-3.300375632933807-0.8343636902065371*I,-3.639601066750628-0.873953936904575*I,-3.96089426914156-0.9094952393536819*I,-4.305067375954654-0.9649848220409368*I,-4.681210156886662-1.0131989373779136*I
643,0.700753613404,0.950764056236,-2.7266202921393425-0.4466686288566719*I,-2.5601958143213883-0.4820210054535083*I,-2.943420823475094-0.7385354094015978*I,-3.297179186614998-0.8373881877529334*I,-3.6361887779333992-0.8769811069973105*I,-3.9565269873756566-0.9126521127586689*I,-4.2998799580538485-0.9686804860049912*I,-4.675390305502709-1.0172171376785835*I
645,0.736367247883,0.949245614914,-2.7414978160153987-0.5297016162420013*I,-2.4505499103895216-0.5390617565005199*I,-2.891791210517466-0.7775538788626886*I,-3.252890892054159-0.8788199199012776*I,-3.589722152111219-0.9175792166633846*I,-3.8964472626389357-0.9536597996686932*I,-4.227922975707098-1.0171949539152687*I,-4.5945863639106665-1.0702133121503064*I
649,0.678912163651,0.952113525683,-2.712167352971611-0.40265969651359984*I,-2.6211566413548137-0.47030556781693844*I,-2.97150464572747-0.717949031117473*I,-3.321464336259409-0.8142785015625145*I,-3.6622862802213954-0.8536101242550406*I,-3.9897824865861775-0.8879976161008024*I,-4.339255517284139-0.9399226076116616*I,-4.719536749156283-0.9860017891644041*I
650,0.680697153632,0.952951126657,-2.7134819275871593-0.40601118483292986*I,-2.6166060620232203-0.47078608940207783*I,-2.9693028576313374-0.7195509847421713*I,-3.3195508036291104-0.8161107977553097*I,-3.6602161027076243-0.8554836833471166*I,-3.987156456578482-0.8899964571837643*I,-4.336156275122164-0.9422460720788072*I,-4.716064754389203-0.9885197354991159*I
651,0.678114736999,0.952261363584,-2.7115733458343674-0.40117767442933*I,-2.623162659738466-0.4701117659951096*I,-2.972483100717289-0.717237695827155*I,-3.3223153078271213-0.8134629979009325*I,-3.66320763379221-0.8527750991226831*I,-3.9909505885229706-0.8871056011345991*I,-4.340633584634826-0.9388861228671517*I,-4.721080387068341-0.9848787496202843*I
655,0.702747366818,0.951299429147,-2.7277465788242106-0.45098506734676164*I,-2.554147592385829-0.483866297491401*I,-2.940728799078679-0.7405286909039916*I,-3.29486274866632-0.8395769217805469*I,-3.633720464249379-0.8791660086710074*I,-3.953364178703979-0.9149232345381819*I,-4.2961199193208515-0.9713420123930435*I,-4.671171229646906-1.0201123334913043*I
657,0.718721575453,0.949392053051,-2.7355119342362144-0.4870957495352945*I,-2.504401616546052-0.504455665856193*I,-2.9183336782193274-0.757274448422438*I,-3.2756386420591515-0.8576453504182382*I,-3.61339073891877-0.8970240616569265*I,-3.9271937802223964-0.9332330044165048*I,-4.264895438968976-0.9928958682848498*I,-4.636117861676825-1.043606057743001*I
658,0.699139840514,0.950833097814,-2.7256836491112586-0.4432085236650814*I,-2.565045770551678-0.48063718844824344*I,-2.945583536852171-0.7369368479733003*I,-3.299041331401406-0.8356268215723692*I,-3.638175788986788-0.8752193142896876*I,-3.9590708176433385-0.9108162607356074*I,-4.302902130043756-0.9665307683831239*I,-4.678781056172933-1.0148795376420954*I
659,0.68227238758,0.950122106603,-2.714624190425675-0.40900746177281294*I,-2.6125214337133547-0.47126680621433475*I,-2.9673464174486077-0.7209759382678435*I,-3.3178520629557053-0.817735718090105*I,-3.658380197018261-0.8571421945767028*I,-3.9848259267883352-0.8917628385775439*I,-4.333404396705495-0.9443003783445255*I,-4.7129814610342615-0.9907465298368466*I
661,0.702483587687,0.951871953337,-2.727599539300552-0.45041138812487796*I,-2.554951125480055-0.48361340223717214*I,-2.941086241917505-0.7402638002086939*I,-3.2951702327065555-0.8392865373337312*I,-3.634047886166717-0.8788764095038729*I,-3.9537839046480747-0.91462257007927*I,-4.296619062329407-0.9709895263268666*I,-4.671731338737909-1.01972883257463*I
663,0.686854476305,0.952411266345,-2.7178468144434618-0.41792372306998976*I,-2.600279779796323-0.4729987410980756*I,-2.961583166454613-0.725182278006639*I,-3.3128560460325263-0.822505514858558*I,-3.652991309413983-0.8619943750786762*I,-3.9779759755106445-0.8969137693912125*I,-4.325308336810859-0.9502968510266697*I,-4.703908074866367-0.9972494992872926*I
664,0.711801895818,0.94894234063,-2.7324246843501783-0.47113599024476244*I,-2.5261060353807068-0.49423878870167964*I,-2.928218237785571-0.7498457183317163*I,-3.284115356684573-0.8496988229133103*I,-3.6223200423980124-0.8892085395872418*I,-3.938715228130683-0.9252777631456348*I,-4.2786674412803025-0.9835085910024148*I,-4.651581978725699-1.0333629385325318*I
